corpus,domain,group,scenario_id,criterion,activities,actors,systems,inputs,outputs,decisions,exceptions,automation_opportunities,legacy_overall,process_overall
domain_taxonomy_v1,childcare,domain,C05,document,1.0,1.0,1.0,0.5,0.75,1.0,0.5,1.0,0.8438,0.8214
domain_taxonomy_v1,childcare,domain,C05,field,0.625,1.0,1.0,0.0,0.25,0.5,0.25,1.0,0.5781,0.5179
domain_taxonomy_v1,childcare,domain,C05,exact,0.0,1.0,1.0,0.0,0.0,0.0,0.25,1.0,0.4062,0.3214
domain_taxonomy_v1,childcare,domain,C06,document,0.875,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.9219,0.9107
domain_taxonomy_v1,childcare,domain,C06,field,0.625,0.75,1.0,0.75,0.5,1.0,0.75,1.0,0.7969,0.7679
domain_taxonomy_v1,childcare,domain,C06,exact,0.0,0.75,1.0,0.5,0.25,0.0,0.25,1.0,0.4688,0.3929
domain_taxonomy_v1,childcare,domain,C07,document,0.875,0.5,1.0,0.75,1.0,1.0,1.0,1.0,0.8906,0.875
domain_taxonomy_v1,childcare,domain,C07,field,0.875,0.5,1.0,0.75,0.75,1.0,0.75,1.0,0.8281,0.8036
domain_taxonomy_v1,childcare,domain,C07,exact,0.125,0.25,1.0,0.75,0.0,0.0,0.25,1.0,0.4219,0.3393
domain_taxonomy_v1,childcare,domain,C08,document,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
domain_taxonomy_v1,childcare,domain,C08,field,0.75,1.0,1.0,1.0,1.0,0.5,0.75,1.0,0.875,0.8571
domain_taxonomy_v1,childcare,domain,C08,exact,0.125,0.75,1.0,0.5,0.5,0.0,0.25,1.0,0.5156,0.4464
domain_taxonomy_v1,semiconductor_work,domain,S01,document,1.0,0.6667,1.0,0.75,0.25,1.0,1.0,1.0,0.8333,0.8095
domain_taxonomy_v1,semiconductor_work,domain,S01,field,0.75,0.6667,1.0,0.25,0.25,1.0,1.0,1.0,0.7396,0.7024
domain_taxonomy_v1,semiconductor_work,domain,S01,exact,0.0,0.6667,1.0,0.25,0.0,0.0,0.5,1.0,0.4271,0.3452
domain_taxonomy_v1,semiconductor_work,domain,S02,document,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.9583,0.9524
domain_taxonomy_v1,semiconductor_work,domain,S02,field,0.8571,0.6667,1.0,1.0,1.0,0.6667,0.5,1.0,0.8363,0.8129
domain_taxonomy_v1,semiconductor_work,domain,S02,exact,0.4286,0.6667,0.6667,1.0,0.6667,0.3333,0.25,1.0,0.6265,0.5731
domain_taxonomy_v1,semiconductor_work,domain,S03,document,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.9375,0.9286
domain_taxonomy_v1,semiconductor_work,domain,S03,field,0.75,1.0,1.0,0.5,1.0,0.5,0.75,1.0,0.8125,0.7857
domain_taxonomy_v1,semiconductor_work,domain,S03,exact,0.125,1.0,1.0,0.5,1.0,0.0,0.75,1.0,0.6719,0.625
domain_taxonomy_v1,semiconductor_work,domain,S04,document,1.0,1.0,1.0,0.25,1.0,1.0,0.0,1.0,0.7812,0.75
domain_taxonomy_v1,semiconductor_work,domain,S04,field,0.5,1.0,1.0,0.25,1.0,1.0,0.0,1.0,0.7188,0.6786
domain_taxonomy_v1,semiconductor_work,domain,S04,exact,0.125,1.0,1.0,0.25,1.0,0.0,0.0,1.0,0.5469,0.4821
domain_taxonomy_v1,semiconductor_work,domain,S05,document,1.0,1.0,1.0,0.75,1.0,1.0,0.5,1.0,0.9062,0.8929
domain_taxonomy_v1,semiconductor_work,domain,S05,field,0.5714,1.0,1.0,0.75,1.0,1.0,0.5,1.0,0.8527,0.8316
domain_taxonomy_v1,semiconductor_work,domain,S05,exact,0.1429,1.0,1.0,0.5,0.75,0.0,0.0,1.0,0.5491,0.4847
domain_taxonomy_v1,semiconductor_work,domain,S06,document,1.0,0.6,1.0,0.75,0.5,0.5,0.5,1.0,0.7312,0.6929
domain_taxonomy_v1,semiconductor_work,domain,S06,field,0.8571,0.6,1.0,0.75,0.5,0.0,0.25,1.0,0.6196,0.5653
domain_taxonomy_v1,semiconductor_work,domain,S06,exact,0.4286,0.6,1.0,0.75,0.0,0.0,0.25,1.0,0.5036,0.4327
domain_taxonomy_v1,semiconductor_work,domain,S07,document,0.7143,1.0,1.0,1.0,1.0,1.0,0.75,0.6667,0.8914,0.9235
domain_taxonomy_v1,semiconductor_work,domain,S07,field,0.5714,1.0,1.0,1.0,1.0,0.0,0.75,0.6667,0.7485,0.7602
domain_taxonomy_v1,semiconductor_work,domain,S07,exact,0.1429,0.75,1.0,1.0,0.25,0.0,0.0,0.6667,0.4762,0.449
domain_taxonomy_v1,semiconductor_work,domain,S08,document,0.6667,0.6667,1.0,1.0,1.0,1.0,0.5,1.0,0.8542,0.8333
domain_taxonomy_v1,semiconductor_work,domain,S08,field,0.5,0.3333,1.0,1.0,1.0,0.5,0.5,1.0,0.7292,0.6905
domain_taxonomy_v1,semiconductor_work,domain,S08,exact,0.1667,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.5833,0.5238
matched_pilot,semiconductor_work,generic,S01,document,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9844,0.9821
matched_pilot,semiconductor_work,generic,S01,field,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.9375,0.9286
matched_pilot,semiconductor_work,generic,S01,exact,0.5,1.0,0.75,1.0,0.75,0.0,0.25,1.0,0.6562,0.6071
matched_pilot,semiconductor_work,generic,S02,document,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.9583,0.9524
matched_pilot,semiconductor_work,generic,S02,field,0.8571,0.6667,1.0,1.0,1.0,0.6667,0.5,1.0,0.8363,0.8129
matched_pilot,semiconductor_work,generic,S02,exact,0.4286,0.6667,1.0,1.0,1.0,0.3333,0.5,1.0,0.7411,0.7041
matched_pilot,semiconductor_work,generic,S03,document,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.9688,0.9643
matched_pilot,semiconductor_work,generic,S03,field,0.75,1.0,1.0,0.5,0.75,0.5,0.5,1.0,0.75,0.7143
matched_pilot,semiconductor_work,generic,S03,exact,0.25,1.0,1.0,0.5,0.5,0.0,0.5,1.0,0.5938,0.5357
matched_pilot,semiconductor_work,generic,S04,document,1.0,1.0,0.75,1.0,1.0,1.0,0.5,1.0,0.9062,0.8929
matched_pilot,semiconductor_work,generic,S04,field,0.625,1.0,0.25,1.0,0.8,1.0,0.25,1.0,0.7406,0.7036
matched_pilot,semiconductor_work,generic,S04,exact,0.5,1.0,0.25,0.75,0.6,0.0,0.0,1.0,0.5125,0.4429
matched_pilot,semiconductor_work,generic,S05,document,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9375,0.9286
matched_pilot,semiconductor_work,generic,S05,field,0.8571,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.9196,0.9082
matched_pilot,semiconductor_work,generic,S05,exact,0.1429,1.0,0.75,1.0,0.75,0.0,0.0,1.0,0.5804,0.5204
matched_pilot,semiconductor_work,generic,S06,document,1.0,1.0,1.0,0.75,0.75,0.5,0.75,1.0,0.8438,0.8214
matched_pilot,semiconductor_work,generic,S06,field,1.0,1.0,1.0,0.75,0.5,0.5,0.0,1.0,0.7188,0.6786
matched_pilot,semiconductor_work,generic,S06,exact,0.4286,1.0,1.0,0.5,0.25,0.0,0.0,1.0,0.5223,0.4541
matched_pilot,semiconductor_work,generic,S07,document,0.7143,1.0,0.75,1.0,0.75,0.5,0.5,0.6667,0.7351,0.7449
matched_pilot,semiconductor_work,generic,S07,field,0.7143,1.0,0.75,1.0,0.75,0.5,0.5,0.6667,0.7351,0.7449
matched_pilot,semiconductor_work,generic,S07,exact,0.2857,0.75,0.5,0.75,0.25,0.0,0.0,0.6667,0.4003,0.3622
matched_pilot,semiconductor_work,generic,S08,document,1.0,0.6667,1.0,0.75,1.0,1.0,1.0,1.0,0.9271,0.9167
matched_pilot,semiconductor_work,generic,S08,field,0.6667,0.0,1.0,0.75,1.0,0.5,1.0,1.0,0.7396,0.7024
matched_pilot,semiconductor_work,generic,S08,exact,0.5,0.0,1.0,0.5,1.0,0.5,0.5,1.0,0.625,0.5714
matched_pilot,semiconductor_work,gapelicit,S01,document,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,0.9062,0.8929
matched_pilot,semiconductor_work,gapelicit,S01,field,0.5,1.0,1.0,0.25,0.5,1.0,0.75,1.0,0.75,0.7143
matched_pilot,semiconductor_work,gapelicit,S01,exact,0.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,0.4062,0.3214
matched_pilot,semiconductor_work,gapelicit,S02,document,1.0,0.6667,1.0,0.75,1.0,1.0,1.0,1.0,0.9271,0.9167
matched_pilot,semiconductor_work,gapelicit,S02,field,0.7143,0.6667,0.6667,0.75,0.6667,0.6667,0.5,1.0,0.7039,0.6616
matched_pilot,semiconductor_work,gapelicit,S02,exact,0.2857,0.6667,0.3333,0.75,0.3333,0.3333,0.0,1.0,0.4628,0.3861
matched_pilot,semiconductor_work,gapelicit,S03,document,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.9375,0.9286
matched_pilot,semiconductor_work,gapelicit,S03,field,0.75,0.75,1.0,0.75,0.75,0.0,0.75,1.0,0.7188,0.6786
matched_pilot,semiconductor_work,gapelicit,S03,exact,0.125,0.75,1.0,0.75,0.75,0.0,0.25,1.0,0.5781,0.5179
matched_pilot,semiconductor_work,gapelicit,S04,document,0.625,1.0,0.75,1.0,0.6,1.0,0.0,1.0,0.7469,0.7107
matched_pilot,semiconductor_work,gapelicit,S04,field,0.625,1.0,0.5,1.0,0.6,0.5,0.0,1.0,0.6531,0.6036
matched_pilot,semiconductor_work,gapelicit,S04,exact,0.0,1.0,0.5,1.0,0.4,0.0,0.0,1.0,0.4875,0.4143
matched_pilot,semiconductor_work,gapelicit,S05,document,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9688,0.9643
matched_pilot,semiconductor_work,gapelicit,S05,field,0.7143,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.933,0.9235
matched_pilot,semiconductor_work,gapelicit,S05,exact,0.0,1.0,1.0,0.75,0.75,0.0,1.0,1.0,0.6875,0.6429
matched_pilot,semiconductor_work,gapelicit,S06,document,1.0,1.0,1.0,0.75,1.0,0.5,0.5,1.0,0.8438,0.8214
matched_pilot,semiconductor_work,gapelicit,S06,field,0.8571,1.0,1.0,0.25,0.75,0.5,0.25,1.0,0.7009,0.6582
matched_pilot,semiconductor_work,gapelicit,S06,exact,0.2857,1.0,1.0,0.25,0.5,0.0,0.25,1.0,0.5357,0.4694
matched_pilot,semiconductor_work,gapelicit,S07,document,0.7143,1.0,0.5,1.0,0.75,0.5,0.75,0.6667,0.7351,0.7449
matched_pilot,semiconductor_work,gapelicit,S07,field,0.7143,1.0,0.5,1.0,0.75,0.5,0.5,0.6667,0.7039,0.7092
matched_pilot,semiconductor_work,gapelicit,S07,exact,0.1429,0.75,0.25,0.75,0.25,0.0,0.0,0.6667,0.3512,0.3061
matched_pilot,semiconductor_work,gapelicit,S08,document,1.0,0.6667,1.0,1.0,1.0,1.0,0.25,1.0,0.8646,0.8452
matched_pilot,semiconductor_work,gapelicit,S08,field,0.6667,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.7396,0.7024
matched_pilot,semiconductor_work,gapelicit,S08,exact,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6875,0.6429
matched_pilot,semiconductor_work,coordinated,S01,document,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.9375,0.9286
matched_pilot,semiconductor_work,coordinated,S01,field,1.0,1.0,1.0,1.0,0.5,1.0,0.75,1.0,0.9062,0.8929
matched_pilot,semiconductor_work,coordinated,S01,exact,0.25,1.0,1.0,1.0,0.25,1.0,0.0,1.0,0.6875,0.6429
matched_pilot,semiconductor_work,coordinated,S02,document,0.8571,0.6667,1.0,1.0,1.0,1.0,0.75,1.0,0.9092,0.8963
matched_pilot,semiconductor_work,coordinated,S02,field,0.5714,0.6667,0.3333,1.0,0.6667,0.3333,0.5,1.0,0.6339,0.5816
matched_pilot,semiconductor_work,coordinated,S02,exact,0.2857,0.6667,0.3333,1.0,0.6667,0.3333,0.0,1.0,0.5357,0.4694
matched_pilot,semiconductor_work,coordinated,S03,document,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
matched_pilot,semiconductor_work,coordinated,S03,field,0.75,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.9062,0.8929
matched_pilot,semiconductor_work,coordinated,S03,exact,0.25,1.0,1.0,0.75,0.5,1.0,0.75,1.0,0.7812,0.75
matched_pilot,semiconductor_work,coordinated,S04,document,0.875,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.8906,0.875
matched_pilot,semiconductor_work,coordinated,S04,field,0.75,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.875,0.8571
matched_pilot,semiconductor_work,coordinated,S04,exact,0.25,1.0,1.0,1.0,0.6,0.0,0.0,1.0,0.6062,0.55
matched_pilot,semiconductor_work,coordinated,S05,document,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.9375,0.9286
matched_pilot,semiconductor_work,coordinated,S05,field,0.7143,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.9018,0.8878
matched_pilot,semiconductor_work,coordinated,S05,exact,0.2857,1.0,0.75,0.75,0.75,0.5,0.25,1.0,0.6607,0.6122
matched_pilot,semiconductor_work,coordinated,S06,document,1.0,1.0,0.75,0.75,1.0,1.0,0.5,0.6667,0.8333,0.8571
matched_pilot,semiconductor_work,coordinated,S06,field,0.8571,1.0,0.75,0.75,0.75,0.5,0.25,0.6667,0.6905,0.6939
matched_pilot,semiconductor_work,coordinated,S06,exact,0.4286,1.0,0.75,0.75,0.25,0.0,0.25,0.6667,0.5119,0.4898
matched_pilot,semiconductor_work,coordinated,S07,document,0.7143,1.0,0.5,0.75,0.75,0.5,0.75,0.6667,0.7039,0.7092
matched_pilot,semiconductor_work,coordinated,S07,field,0.7143,0.75,0.5,0.75,0.75,0.0,0.5,0.6667,0.5789,0.5663
matched_pilot,semiconductor_work,coordinated,S07,exact,0.2857,0.75,0.25,0.5,0.0,0.0,0.0,0.6667,0.3065,0.2551
matched_pilot,semiconductor_work,coordinated,S08,document,1.0,0.6667,1.0,1.0,1.0,1.0,0.5,1.0,0.8958,0.881
matched_pilot,semiconductor_work,coordinated,S08,field,1.0,0.0,1.0,1.0,1.0,0.5,0.25,1.0,0.7188,0.6786
matched_pilot,semiconductor_work,coordinated,S08,exact,0.5,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.625,0.5714
