corpus,domain,group,scenario_id,criterion,activities,actors,systems,inputs,outputs,decisions,exceptions,automation_opportunities,legacy_overall,process_overall
runs,semiconductor_work,update,S04,exact,0.125,1.0,1.0,0.25,0.6,0.0,0.0,1.0,0.4969,0.425
runs,semiconductor_work,one_shot,S05,document,0.5714,0.25,0.0,0.75,0.75,0.5,0.5,1.0,0.5402,0.4745
runs,semiconductor_work,one_shot,S05,field,0.0,0.0,0.0,0.75,0.25,0.5,0.25,1.0,0.3438,0.25
runs,semiconductor_work,one_shot,S05,exact,0.0,0.0,0.0,0.25,0.25,0.0,0.0,1.0,0.1875,0.0714
runs,semiconductor_work,checklist,S05,document,0.7143,0.25,0.25,0.75,0.75,0.5,0.5,1.0,0.5893,0.5306
runs,semiconductor_work,checklist,S05,field,0.1429,0.25,0.0,0.75,0.0,0.5,0.25,1.0,0.3616,0.2704
runs,semiconductor_work,checklist,S05,exact,0.0,0.25,0.0,0.25,0.0,0.0,0.0,1.0,0.1875,0.0714
runs,semiconductor_work,update,S05,document,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
runs,semiconductor_work,update,S05,field,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
runs,semiconductor_work,update,S05,exact,0.2857,1.0,1.0,1.0,0.75,0.5,0.5,1.0,0.7545,0.7194
runs,semiconductor_work,one_shot,S06,document,1.0,0.4,0.75,1.0,0.75,1.0,0.75,1.0,0.8313,0.8071
runs,semiconductor_work,one_shot,S06,field,0.7143,0.4,0.75,0.25,0.75,0.5,0.0,1.0,0.5455,0.4806
runs,semiconductor_work,one_shot,S06,exact,0.0,0.4,0.5,0.25,0.25,0.0,0.0,1.0,0.3,0.2
runs,semiconductor_work,checklist,S06,document,1.0,0.4,0.75,0.75,0.75,0.5,0.75,1.0,0.7375,0.7
runs,semiconductor_work,checklist,S06,field,0.8571,0.4,0.75,0.75,0.5,0.5,0.5,1.0,0.6571,0.6082
runs,semiconductor_work,checklist,S06,exact,0.0,0.4,0.25,0.5,0.25,0.0,0.0,1.0,0.3,0.2
runs,semiconductor_work,update,S06,document,0.8571,0.8,1.0,0.75,0.75,1.0,0.5,1.0,0.8321,0.8082
runs,semiconductor_work,update,S06,field,0.7143,0.8,1.0,0.5,0.75,1.0,0.25,1.0,0.7518,0.7163
runs,semiconductor_work,update,S06,exact,0.2857,0.8,1.0,0.25,0.75,0.0,0.0,1.0,0.5107,0.4408
runs,semiconductor_work,one_shot,S07,document,0.7143,0.75,0.75,1.0,0.75,0.5,0.5,1.0,0.7455,0.7092
runs,semiconductor_work,one_shot,S07,field,0.5714,0.5,0.5,0.75,0.5,0.0,0.25,1.0,0.5089,0.4388
runs,semiconductor_work,one_shot,S07,exact,0.0,0.5,0.25,0.5,0.0,0.0,0.0,1.0,0.2812,0.1786
runs,semiconductor_work,checklist,S07,document,0.7143,0.75,0.75,1.0,0.75,1.0,1.0,1.0,0.8705,0.852
runs,semiconductor_work,checklist,S07,field,0.4286,0.75,0.75,1.0,0.5,0.0,0.5,1.0,0.6161,0.5612
runs,semiconductor_work,checklist,S07,exact,0.0,0.25,0.75,0.5,0.0,0.0,0.0,1.0,0.3125,0.2143
runs,semiconductor_work,update,S07,document,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.9688,0.9643
runs,semiconductor_work,update,S07,field,1.0,0.75,1.0,1.0,1.0,0.5,0.75,1.0,0.875,0.8571
runs,semiconductor_work,update,S07,exact,0.1429,0.5,0.75,0.75,0.25,0.0,0.0,1.0,0.4241,0.3418
runs,semiconductor_work,one_shot,S08,document,0.8333,1.0,1.0,0.5,1.0,1.0,0.75,1.0,0.8854,0.869
runs,semiconductor_work,one_shot,S08,field,0.5,1.0,1.0,0.5,0.6667,0.5,0.5,1.0,0.7083,0.6667
runs,semiconductor_work,one_shot,S08,exact,0.1667,0.0,0.3333,0.0,0.3333,0.5,0.0,1.0,0.2917,0.1905
runs,semiconductor_work,checklist,S08,document,1.0,0.6667,0.6667,0.5,1.0,1.0,1.0,1.0,0.8542,0.8333
runs,semiconductor_work,checklist,S08,field,0.5,0.6667,0.6667,0.5,1.0,0.5,0.5,1.0,0.6667,0.619
