scenario_id,repeat,level,document_process,field_process,exact_process,document_legacy,field_legacy,exact_legacy,field_activities,field_actors,field_systems,field_inputs,field_outputs,field_decisions,field_exceptions,answer_words,unsure_answers,input_tokens,output_tokens,provenance_carried,provenance_lost,provenance_recovered,provenance_dropped,provenance_unsupported,provenance_missed
S07,2,L2,0.6378,0.4949,0.2194,0.683,0.558,0.317,0.7143,0.75,0.5,0.5,0.5,0.0,0.5,47,0,2580,3241,1,0,12,1,3,12
S07,2,L1,0.7092,0.5663,0.2908,0.7455,0.6205,0.3795,0.7143,0.75,0.5,1.0,0.5,0.0,0.5,156,3,2714,3395,1,0,14,3,3,8
S07,2,L0,0.6735,0.3827,0.1429,0.6726,0.4182,0.2083,0.4286,0.25,0.75,0.5,0.5,0.0,0.25,108,0,2674,3240,1,0,0,0,11,17
S07,3,L3,0.8163,0.6888,0.3469,0.7976,0.686,0.3869,0.5714,0.75,0.75,0.75,0.75,0.5,0.75,247,0,2764,3708,1,0,17,1,2,8
S07,3,L3p,0.7449,0.4745,0.1429,0.7768,0.5402,0.25,0.5714,0.75,0.25,0.75,0.5,0.0,0.5,254,0,2838,3340,1,0,10,1,4,13
S07,3,L2,0.6735,0.5102,0.2551,0.7143,0.5714,0.3482,0.5714,0.75,0.75,0.5,0.5,0.0,0.5,55,0,2580,3027,1,0,13,1,2,12
S07,3,L1,0.7092,0.4898,0.2551,0.7039,0.5119,0.3065,0.4286,0.5,0.75,0.75,0.75,0.0,0.25,140,3,2684,2895,1,0,11,0,3,14
S07,3,L0,0.6735,0.3265,0.1786,0.7143,0.4107,0.2812,0.2857,0.5,0.75,0.25,0.25,0.0,0.25,114,0,2670,3215,1,0,2,0,7,19
S07,4,L3,0.6582,0.6582,0.2398,0.6592,0.6592,0.2932,0.8571,0.75,0.75,0.5,0.75,0.5,0.5,198,0,2759,3612,1,0,18,0,1,9
S07,4,L3p,0.6939,0.6735,0.1786,0.7321,0.7143,0.2812,0.7143,0.75,0.75,0.5,0.75,0.5,0.75,217,0,2846,3959,1,0,11,1,8,8
S07,4,L2,0.7653,0.551,0.199,0.753,0.5655,0.2574,0.8571,0.75,0.5,0.5,0.5,0.0,0.75,76,0,2667,3268,1,0,12,1,5,10
S07,4,L1,0.7449,0.5969,0.2398,0.7351,0.6057,0.2932,0.4286,0.75,0.75,0.75,0.75,0.5,0.25,152,3,2767,3061,1,0,13,1,3,11
S07,4,L0,0.7449,0.4337,0.0714,0.7351,0.4628,0.1458,0.2857,0.5,0.75,0.5,0.75,0.0,0.25,129,0,2744,3624,1,0,0,0,12,16
S07,5,L3,0.7245,0.6531,0.4898,0.7173,0.6548,0.5119,0.5714,1.0,0.5,0.75,0.75,0.0,1.0,223,0,2805,3786,1,0,17,1,2,8
S07,5,L3p,0.8163,0.602,0.2143,0.8393,0.6518,0.3125,0.7143,0.75,0.75,0.75,0.5,0.0,0.75,285,0,2941,4480,1,0,16,1,2,9
S07,5,L2,0.7449,0.5459,0.3061,0.7351,0.561,0.3512,0.5714,0.75,0.5,0.5,0.5,0.0,1.0,80,0,2687,3652,1,0,13,3,3,9
S07,5,L1,0.7092,0.4745,0.2194,0.7455,0.5402,0.317,0.5714,0.75,0.25,0.75,0.75,0.0,0.25,117,3,2728,3724,1,0,12,0,2,14
S07,5,L0,0.6735,0.5102,0.0357,0.7143,0.5714,0.1562,0.5714,0.5,0.5,0.5,0.5,0.5,0.5,114,0,2749,3567,1,0,0,0,14,14
S08,1,L3,0.9286,0.7738,0.631,0.9375,0.8021,0.6771,0.6667,0.0,1.0,1.0,1.0,1.0,0.75,173,0,2610,4370,3,2,14,0,2,4
S08,1,L3p,0.8452,0.6071,0.2143,0.8646,0.6562,0.3125,0.6667,0.0,0.6667,0.75,0.6667,0.5,1.0,199,0,2718,4199,3,2,6,1,7,6
S08,1,L2,0.8929,0.5714,0.369,0.9062,0.625,0.4479,0.5,0.3333,1.0,0.75,0.6667,0.5,0.25,41,0,2501,3328,4,1,7,0,3,10
S08,1,L1,0.5238,0.4048,0.2738,0.5833,0.4792,0.3646,0.5,0.0,0.6667,0.25,0.6667,0.5,0.25,109,3,2582,3113,3,2,4,0,3,13
S08,1,L0,0.631,0.4167,0.1548,0.6771,0.4896,0.2604,0.5,0.0,1.0,0.25,0.6667,0.5,0.0,118,0,2613,3691,3,2,0,0,7,13
S08,2,L3,0.881,0.6548,0.5357,0.8958,0.6979,0.5938,0.8333,0.0,1.0,0.5,1.0,0.5,0.75,216,0,2686,3650,3,2,14,0,0,6
S08,2,L3p,0.9167,0.3571,0.25,0.9271,0.4375,0.3438,0.5,0.0,0.3333,0.25,0.6667,0.5,0.25,222,0,2757,3850,2,3,3,1,4,12
S08,2,L2,0.7143,0.5714,0.4167,0.75,0.625,0.4896,0.5,0.0,1.0,0.5,1.0,0.5,0.5,82,0,2582,3017,2,3,9,1,3,7
